ques_no,question,option1,option2,option3,option4,correct_option,marks_correct_ans,marks_wrong_ans,compulsory,marked_choice,Total,Legend
1,Who was the first Indian woman in Space?,Kalpana Chawla,Sunita Williams,Koneru Humpy,None of the above,1,5,-1,n,1,5,Correct Choice
2,Who was the first Indian in space?,Vikram Ambalal,Ravish Malhotra,Rakesh Sharma,Nagapathi Bhat,3,4,-1,y,1,-1,Wrong Choice
3,Who was the first Man to Climb Mount Everest Without Oxygen?,Junko Tabei,Reinhold Messner,Peter Habeler,Phu Dorji,4,8,-2,n,1,-2,Wrong Choice
4,Who built the Jama Masjid?,Jahangir,Akbar,Imam Bukhari,Shah Jahan,4,5,-1,n,3,-1,Wrong Choice
5,Who wrote the Indian National Anthem?,Bakim Chandra Chatterji,Rabindranath Tagore,Swami Vivekanand,None of the above,2,4,-1,y,,-1,Wrong Choice
6,Who was the first Indian Scientist to win a Nobel Prize?,CV Raman,Amartya Sen,Hargobind Khorana,Subramanian Chrandrashekar,1,8,-2,n,,0,Unattempted
7,Who is the first Indian to win a Nobel Prize?,Rabindranath Tagore,CV Raman,Mother Theresa,Hargobind Khorana,1,5,-1,n,,0,Unattempted
8,Who was the first Indian woman to win the Miss World Title?,Aishwarya Rai,Sushmita Sen,Reita Faria,Diya Mirza,3,4,-1,y,,-1,Wrong Choice
9,Who was the first President of India?,Abdul Kalam,Lal Bahadur Shastri,Dr. Rajendra Prasad,Zakir Hussain,3,8,-2,n,,0,Unattempted
10,Who was the first Indian to win the Booker Prize?,Dhan Gopal Mukerji,Nirad C. Chaudhuri,Arundhati Roy,Aravind Adiga,3,5,-1,n,,0,Unattempted
,,,,,,,,,,,-1,Marks Obtained
,,,,,,,,,,,56,Total Quiz Marks
